"MODEL_DESC","Model","TIME_AGG_PERIOD","START_WEEK","END_WEEK","dependent_variable","CNT_EXPSD_HH","UDJ_AVG_EXPSD_HH_PRE","UDJ_AVG_CNTRL_HH_PRE","UDJ_AVG_EXPSD_HH_PST","UDJ_AVG_CNTRL_HH_PST","UDJ_DOD_EFFCT","UDJ_DIFF_EFFCT","ADJ_MEAN_EXPSD_GRP","ADJ_MEAN_CNTRL_GRP","ADJ_DOD_EFFCT","TWOTAIL_PVAL","ONETAIL_PVAL","ABS_DIFF","DOL_DIFF","ONETAIL_80_PCT_INTRVL_UB","ONETAIL_80_PCT_INTRVL_LB","ONETAIL_90_PCT_INTRVL_UB","ONETAIL_90_PCT_INTRVL_LB","TWOTAIL_80_PCT_INTRVL_UB","TWOTAIL_80_PCT_INTRVL_LB","TWOTAIL_90_PCT_INTRVL_UB","TWOTAIL_90_PCT_INTRVL_LB","CNT_IMPRESSIONS","TWOTAIL_PVAL_to_Campaign","ONETAIL_PVAL_to_Campaign","CNT_Model_HH"
"creative (Other)","","","","","occ",,1.0352623962719492,1.0359848484848484,1.3956595648596222,1.487794612794613,-6.1441676785202075,-6.192726277044921,1.4829562696919005,1.4848647835346573,-0.12853115407678223,85.81335314023836,92.90667657011919,-0.0019085138427568094,-0.0019085138427568094,2.4553078753551127,-2.6452271054977037,3.8540339973082682,-3.9450355860650044,3.8540339973082682,-3.9450355860650044,5.014346253520221,-5.010647318931643,,76.3767934411754,88.18839672058769,563
"creative (Other)","","","","","dolocc",,2.5888657991661073,2.4603125000000023,3.4190158118824323,3.438050298968495,-4.292775655331386,-0.5536419025566157,3.464924813184112,3.430350483998152,1.0078949468062155,2.48467422496208,51.24233711248104,0.03457432918595993,0.03457432918595993,3.4073926994300967,-1.3406715784107763,4.688196547693158,-2.5452570592820396,4.688196547693158,-2.5452570592820396,5.754632020388028,-3.5164270097668564,,3.8464234838033073,51.92321174190165,563
"creative (Other)","","","","","dolhh",1871860,0.00834898006490496,0.008619903322725511,0.16493045897079275,0.16501368853656523,0.11374431643377478,-0.0504379766979343,0.1942929446230629,0.1541558547718728,26.03669507758034,98.22726088477411,99.11363044238706,0.040137089851190105,0.040137089851190105,31.8445148307818,20.490670949817773,34.966428383521276,17.684007717932918,34.966428383521276,17.684007717932918,37.6097632605266,15.445227109960403,6477207,70.34245211784061,85.17122605892031,17256
"creative (Video)","","","","","pen",,0.0037022558259955417,0.003353850258208358,0.036966221167106066,0.030184652323875228,21.31269628822326,22.46694369862529,0.036057843026412156,0.030264577931506678,19.142064720071478,99.99985,99.99985,0.005793265094905478,0.005793265094905478,25.31204009415996,13.31807393295334,28.601937474087457,10.416102580329015,28.601937474087457,10.416102580329015,31.34209900728542,8.021668843934544,,6.449086548646632,53.22454327432331,4611
"creative (Video)","","","","","occ",,0.9976164909529691,1.0359848484848484,1.6850718606403028,1.487794612794613,15.83858439539192,13.259709784479751,1.561231941802525,1.4848647835346573,5.1430378789157345,72.9601993848654,86.4800996924327,0.07636715826786755,0.07636715826786755,8.988847564859528,1.4928279620574223,11.017458908225311,-0.36570805020487845,11.017458908225311,-0.36570805020487845,12.72270793952403,-1.8759383274160917,,74.17463640571769,87.08731820285884,165
"creative (Video)","","","","","dolocc",,3.0046259355802993,2.4603125000000023,3.0841710816783867,3.438050298968495,-26.125058529245095,-10.293020360879572,3.387001781447061,3.430350483998152,-1.2636814446017517,28.482518859119367,64.24125942955968,-0.04334870255109102,-0.04334870255109102,1.3976858830105479,-3.863459245267943,2.8361015384349693,-5.211413595971382,2.8361015384349693,-5.211413595971382,4.070971326356673,-6.317399455551836,,27.597285528990167,63.798642764495085,165
"creative (Video)","","","","","dolhh",362895,0.01114942528735632,0.008619903322725511,0.2223747560182173,0.16501368853656523,33.22848304483005,34.761399487740974,0.1906701011243833,0.1541558547718728,23.68657772132367,99.87032890962742,99.99985,0.03651424635251049,0.03651424635251049,32.48427743366278,15.55856351396631,37.22140976964977,11.492858622461544,37.22140976964977,11.492858622461544,41.25320377233546,8.273664752685548,2396187,40.24619598293228,70.12309799146614,4611
"frequency (Eight_Exposures)","","","","","pen",,0.003742518339005796,0.003353850258208358,0.04372036359702848,0.030184652323875228,43.55539050538233,44.84302528290802,0.03898740609094915,0.03026457793150668,28.82190585701724,99.99985,99.99985,0.008722828159442472,0.008722828159442472,36.617005002155736,21.534295154526536,40.881865421070465,17.839432089667998,40.881865421070465,17.839432089667998,44.470133226595465,14.889123740488039,,27.731825533587838,63.86591276679392,2420
"frequency (Eight_Exposures)","","","","","occ",,1.10907052957181,1.0359848484848484,1.541685716554364,1.487794612794613,-1.290136229970352,3.622213933045791,1.4826595155155577,1.4848647835346571,-0.14851642005070825,0.26227621965631,50.13113810982816,-0.002205268019099371,-0.002205268019099371,2.357255977007716,-2.5789745436937785,3.6887671483723725,-3.859094726311279,3.6887671483723725,-3.859094726311279,4.787590330735607,-4.867895945378765,,10.982485122056806,55.4912425610284,105
"frequency (Eight_Exposures)","","","","","dolocc",,2.6597824840310444,2.460312500000002,3.0583753767113713,3.4380502989684962,-16.8451551294036,-11.043320755692179,3.3668145526770643,3.4303504839981525,-1.8521702554147048,24.06430572606081,62.03215286303041,-0.06353593132108815,-0.06353593132108815,1.0910338277514549,-4.702858160704314,2.6420053558930454,-6.15417785252116,2.6420053558930454,-6.15417785252116,3.9330405273028597,-7.329354069577132,,23.721619870228828,61.86080993511441,105
"frequency (Eight_Exposures)","","","","","dolhh",152016,0.011276859504132231,0.008619903322725511,0.22430578512396693,0.16501368853656523,34.32148018038227,35.9316230751749,0.1946188789322726,0.1541558547718728,26.24812675475668,99.28977244378233,99.64488622189116,0.04046302416039979,0.04046302416039979,35.49009825354151,17.711827789870142,40.52547871131145,13.417866613020058,40.52547871131145,13.417866613020058,44.870139966250704,10.005083154464918,1216132,17.28616099768594,58.64308049884297,2420
"frequency (Five_Exposures)","","","","","pen",,0.002703227787844444,0.003353850258208358,0.037714704427795516,0.030184652323875228,27.102099724413637,24.946625268776824,0.03732188318446993,0.03026457793150668,23.318697088507232,99.89648721611702,99.99985,0.007057305252963251,0.007057305252963251,29.39799818830332,17.500352943727403,32.71673725900401,14.651086101687468,32.71673725900401,14.651086101687468,35.54737865702547,12.261485812382027,,25.66251415185301,62.83125707592651,5584
