MODEL_DESC,dependent_variable,CNT_EXPSD_HH,UDJ_AVG_EXPSD_HH_PRE,UDJ_AVG_CNTRL_HH_PRE,UDJ_AVG_EXPSD_HH_PST,UDJ_AVG_CNTRL_HH_PST,UDJ_DOD_EFFCT,UDJ_DIFF_EFFCT,ADJ_MEAN_EXPSD_GRP,ADJ_MEAN_CNTRL_GRP,ADJ_DOD_EFFCT,PVAL,TWOTAIL_PVAL,ONETAIL_PVAL,ABS_DIFF,DOL_DIFF,ONETAIL_80_PCT_INTRVL_UB,ONETAIL_80_PCT_INTRVL_LB,ONETAIL_90_PCT_INTRVL_UB,ONETAIL_90_PCT_INTRVL_LB,TWOTAIL_80_PCT_INTRVL_UB,TWOTAIL_80_PCT_INTRVL_LB,TWOTAIL_90_PCT_INTRVL_UB,TWOTAIL_90_PCT_INTRVL_LB,COVAR,CORR_PVAL,unadj_avg_cntrl_hh_pst,idx,CNT_IMPRESSIONS,TWOTAIL_PVAL_to_Campaign,ONETAIL_PVAL_to_Campaign,CNT_Model_HH
frequency_type_dym(Exposures_ge_11),dolhh,162737,3.98754251,3.950229048,4.057389807,4.079626702,-1.459701154,-0.545071828,3.211570196,3.256541186,-1.380943377,0.596620963,40.33790375,70.16895187,-0.04497099,-0.04497099,0.794269513,-3.689883721,2.285543133,-4.325595011,2.285543133,-4.325595011,3.576739133,-4.723982188,0,0,0,5,2292560,,,4299
frequency_type_dym(Exposures_ge_11),dolocc,,2.657814521,2.657814521,2.739664369,2.682720104,2.1226316,2.1226316,2.475915184,2.432443775,1.787149593,0.102284749,89.77152508,94.88576254,0.043471409,0.043471409,2.365162666,1.066369959,2.860197104,0.703553119,2.860197104,0.703553119,3.359632105,0.385148253,0,0,0,5,,,,1674
frequency_type_dym(Exposures_ge_11),occ,,2.18430372,2.163742653,2.187819042,2.259965128,-4.102149693,-3.192353929,1.881052433,1.95412012,-3.739160482,0.038428725,96.15712751,98.07856375,-0.073067687,-0.073067687,-1.941415555,-5.434804482,-1.117638574,-6.097511531,-1.117638574,-6.097511531,-0.795924628,-6.407838457,0,0,0,5,,,,1674
frequency_type_dym(Exposures_ge_11),pen,,0.686859059,0.686897822,0.67692098,0.672903058,0.602863052,0.597102627,0.689572651,0.68512287,0.649486592,0.623684458,37.63155422,68.81577711,0.004449781,0.004449781,1.594427897,-0.461424017,2.193247883,-1.171684415,2.193247883,-1.171684415,2.807855532,-1.959585381,0,0,0,5,,,,4299
frequency_type_dym(Exposures_le_1),dolhh,163694,3.936820187,3.9368628,4.13009902,4.277167832,-3.437466211,-3.438462508,3.281424553,3.422137027,-4.111830494,0.060103582,93.98964183,96.99482091,-0.140712474,-0.140712474,-2.321880164,-5.817099444,-1.501764269,-6.913568173,-1.501764269,-6.913568173,-0.519180727,-8.003355958,0,0,0,6,163694,,,4694
frequency_type_dym(Exposures_le_1),dolocc,,2.605977228,2.605977228,2.616256466,2.668129222,-1.944162077,-1.944162077,2.369095345,2.414810837,-1.89312929,0.104697938,89.53020615,94.76510308,-0.045715491,-0.045715491,-0.966730476,-3.007768427,-0.398556918,-3.449623333,-0.398556918,-3.449623333,0.280301275,-3.691617322,0,0,0,6,,,,1892
frequency_type_dym(Exposures_le_1),occ,,2.25440544,2.254582554,2.228329794,2.324246492,-4.119166566,-4.126786827,1.918301882,2.014015312,-4.752368543,0.000163012,99.98369876,99.99184938,-0.09571343,-0.09571343,-3.616244864,-5.916437375,-3.204478719,-6.574399806,-3.204478719,-6.574399806,-2.962106222,-6.973999097,0,0,0,6,,,,1892
frequency_type_dym(Exposures_le_1),pen,,0.670105124,0.670060018,0.708436098,0.689723385,2.706535313,2.713075067,0.722041476,0.703646107,2.614292738,0.056559886,94.34401137,97.17200568,0.018395369,0.018395369,3.731375643,1.907098162,4.176169506,1.109272918,4.176169506,1.109272918,4.463028123,0.499835663,0,0,0,6,,,,4694
frequency_type_std(Eight_Exposures),dolhh,37422,4.059051108,4.146561885,4.113372519,4.358979599,-3.626910818,-5.634508587,3.310857186,3.42211229,-3.251065266,0.606854089,39.31459114,69.65729557,-0.111255104,-0.111255104,0.607219082,-7.747299197,3.838988692,-11.46523532,3.838988692,-11.46523532,7.968646643,-12.51372413,0,0,0,7,299377,,,1076
frequency_type_std(Eight_Exposures),dolocc,,2.61335786,2.61335786,2.610904168,2.576139869,1.349472483,1.349472483,2.364415394,2.329742649,1.488265021,0.616776468,38.3223532,69.1611766,0.034672745,0.034672745,4.039242633,-1.208698897,5.820408642,-2.574961363,5.820408642,-2.574961363,7.187016042,-3.583452829,0,0,0,7,,,,452
