MODEL_DESC,MODEL,TIME_AGG_PERIOD,START_WEEK,END_WEEK,DEPENDENT_VARIABLE,CNT_EXPSD_HH,UDJ_AVG_EXPSD_HH_PRE,UDJ_AVG_CNTRL_HH_PRE,UDJ_AVG_EXPSD_HH_PST,UDJ_AVG_CNTRL_HH_PST,UDJ_DOD_EFFECT,UDJ_DIFF_EFFECT,ADJ_MEAN_EXPSD_GRP,ADJ_MEAN_CNTRL_GRP,ADJ_DOD_EFFECT,TWOTAIL_PVAL,ONETAIL_PVAL,ABS_DIFF,DOL_DIFF,ONETAIL_80_PCT_INTRVL_LB,ONETAIL_80_PCT_INTRVL_UB,ONETAIL_90_PCT_INTRVL_LB,ONETAIL_90_PCT_INTRVL_UB,TWOTAIL_80_PCT_INTRVL_LB,TWOTAIL_80_PCT_INTRVL_UB,TWOTAIL_90_PCT_INTRVL_LB,TWOTAIL_90_PCT_INTRVL_UB,CNT_IMPRESSIONS,TWOTAIL_PVAL_TO_CAMPAIGN,ONETAIL_PVAL_TO_CAMPAIGN,CNT_EXPSD_HH_MODEL,SE_ADJ_DOD_EFFECT
Total Campaign,TCP0,20,2026,2045,PEN, ,0.131999178981938,0.131999178981938,0.126580459770115,0.1146004378763,10.4537313432835,10.4537313432836,0.12666739,0.1186102875,6.79292047074753,99.9997091140774,99.9998545570387,0.0080571025, ,5.64606162462319,7.93977931687187,5.07263220156103,8.51320873993404,5.07263220156103,8.51320873993404,4.29339956436671,9.29244137712836, , , ,48720,0.068014628730363
Total Campaign,TCP0,20,2026,2045,OCC, ,1.84714663349401,1.86031203027005,1.79325441868007,1.81498507462687,-0.471918986580225,-1.19729116512221,1.793821432875,1.82291025,-1.59573501355868,83.643354051868,91.821677025934,0.029088817125, ,-2.50019558760916,-0.691274439508188,-2.95242587463441,-0.239044152482944,-2.95242587463441,-0.239044152482944,-3.56696113391011,0.375491106792756, , , ,6167,0.824375225578759
Total Campaign,TCP0,20,2026,2045,DOL/OCC, ,7.24614552959006,7.24629235465031,7.58049690007396,7.48460836656544,1.28310465779044,1.28114296449854,7.58544845875,7.4906465,1.26560449421822,87.3628748521427,93.6814374260713,0.09480195875, ,0.611800084714711,1.91940890372173,0.284897879962955,2.24631110847349,0.284897879962955,2.24631110847349,-0.159329180715323,2.69053816915177, , , ,6167,2.44870885586602
Total Campaign,TCP0,20,2026,2045,DOL/HH,2404428,1.79441071428571,1.80873912151067,1.74165209359606,1.56783210180624,12.0005451347769,11.086645795144,1.72355864185114,1.61959728112141,6.41896364865146,99.7125354069948,99.8562677034974,0.103961360729731,0.103961360729731,4.71852057172385,8.11940672557906,3.86829903326005,8.96962826404286,3.86829903326005,8.96962826404286,2.71293388286606,10.1249934144369,11369690, , ,48720,1.37701649204684
household_age ( 18_24 ),AGE1,20,2026,2045,PEN, ,0.136404697380307,0.136404697380307,0.140018066847335,0.110207768744354,27.0491803278689,27.0491803278689,0.139942760875,0.1238873875,12.9596512598992,88.9531302180205,94.4765651090102,0.016055373375, ,6.54798505889981,19.3713174608987,3.3421519584001,22.5771505613984,3.3421519584001,22.5771505613984,-1.01425125503668,26.9335537748352, ,81.5908583306333,90.7954291653167,1107,0.397162287581934
household_age ( 18_24 ),AGE1,20,2026,2045,OCC, ,2.06622516556291,1.99116997792494,1.90967741935484,1.95628415300546,-6.21903117201476,-2.38241124526942,1.9064783342625,1.885928625,1.08963345643582,11.4102967292546,55.7051483646273,0.0205497092625, ,-4.90648350349016,7.0857504163618,-7.90454198345315,10.0838088963248,-7.90454198345315,10.0838088963248,-11.978600484548,14.1578673974196, ,67.6640919802561,83.8320459901281,155,5.65412430678619
household_age ( 18_24 ),AGE1,20,2026,2045,DOL/OCC, ,7.789353200883,7.8124394512772,8.03742603686636,7.71453876489327,4.48469484581132,4.18543845346215,8.042426525,7.553485625,6.47304998346376,77.4468491284071,88.7234245642035,0.4889409, ,2.25550992616221,10.6905900407653,0.146739897511441,12.7993600694161,0.146739897511441,12.7993600694161,-2.71886546659233,15.6649654335199, ,90.1009638338298,95.0504819169149,155,15.9285640978445
household_age ( 18_24 ),AGE1,20,2026,2045,DOL/HH,79202,2.16710027100271,2.10305329719964,2.21821138211382,1.66936464920205,29.0409743216041,32.8775820893369,2.14560312565061,1.76470736383284,21.5840750497286,85.5193032309403,92.7596516154701,0.380895761817768,0.380895761817768,9.89514921710466,33.2730008823526,4.05068630079267,39.1174637986646,4.05068630079267,39.1174637986646,-3.89134818174634,47.0594982812036,354531,98.1922553510487,99.0961276755244,1107,10.3137667460637
household_age ( 25_34 ),AGE2,20,2026,2045,PEN, ,0.139412747672476,0.139412747672476,0.145380759131058,0.123577623935705,17.6432710882164,17.6432710882164,0.14552699125,0.130744525,11.3063749705772,99.4479068380373,99.7239534190186,0.01478246625, ,8.0889947925348,14.5237551486195,6.48030470351363,16.1324452376407,6.48030470351363,16.1324452376407,4.2942574410584,18.3184925000959, ,99.9525087693196,99.9762543846598,4189,0.210327421561282
household_age ( 25_34 ),AGE2,20,2026,2045,OCC, ,1.82191780821918,1.87214611872146,1.75205254515599,1.81970379909852,-0.957460409154157,-3.71770691340206,1.7511973795,1.793668375,-2.36782875206795,52.3688196850233,76.1844098425117,0.0424709955, ,-4.99298161434647,0.257324110210568,-6.30555804548573,1.56990054134983,-6.30555804548573,1.56990054134983,-8.08921677107726,3.35355926694136, ,50.0817434148444,75.0408717074222,609,2.35432683430486
