tsv_brand,majorbrand,sales_upc_pre,sales_upc_post,percentage_sales_upc_pre,percentage_sales_upc_post,growth_contribution,product_grp_id,row_order
NATURES OWN,NATURES OWN,31.920000000000005,0.0,1.0351184359359494E-4,0.0,-0.0017165258635066267,9,0
NOBRAND,ALL BAGELS BY BELL LTD,17.04,8.47,5.525820221913714E-5,2.5904817503923193E-5,-4.608592308976123E-4,9,0
NOBRAND,ALL ORIGINAL BAGEL & BREAD CO INC,3.19,45.45,1.0344698654873678E-5,1.3900518955765163E-4,0.0022725683894671066,9,0
NOBRAND,OTHER MAPLE LEAF BAKERY,452.28000000000014,430.71000000000004,0.0014666772124220279,0.0013172920834846234,-0.0011599455788169836,9,0
NUTRIBREADS P28,ALL NEW YORK BAKERY OF SYRACUSE INC,279.07000000000005,214.17,9.049827754280871E-4,6.550218140277722E-4,-0.0034900541523051427,9,0
ODOUGHS,ALL ODOUGHS,1558.8300000000002,1951.2700000000007,0.0050550553618108895,0.005967803217341231,0.02110380356749816,9,0
OLD WORLD BAKERY,ALL OLD WORLD BAKERY INC,3.0,0.0,9.728556728721328E-6,0.0,-1.6132761875062277E-4,9,0
ORIGINAL BAGEL,ALL DAKOTA BRAND MFG,10.36,17.54,3.359594923651765E-5,5.364468701520812E-5,3.861107675431572E-4,9,0
PAPAS,OTHER PAPA PITA BAKERY,32.89,26.43,1.0665741026921483E-4,8.083404092428453E-5,-3.4739213904300776E-4,9,0
PARK AVENUE,ALL ORIGINAL BAGEL & BREAD CO INC,19.330000000000002,11.759999999999998,6.268433385539443E-5,3.596701934429005E-5,-4.0708335798073835E-4,9,0
SCHMIDT,SCHMIDT,5.97,11.94,1.9359827890155443E-5,3.651753494649857E-5,3.210419613137393E-4,9,0
SCHMIDT PERFECT PORTION,SCHMIDT,11.94,3.98,3.8719655780310886E-5,1.2172511648832858E-5,-4.28055948418319E-4,9,0
SCHWARTZ BROTHERS BAKERY,ALL SCHWARTZ BROTHERS BAKERY,234.15000000000003,67.22,7.593138526766997E-4,2.0558699322475999E-4,-0.008976806466013822,9,0
SCHWEBELS,SCHWEBELS,0.0,14.030000000000001,0.0,4.290963277214196E-5,7.54475497023746E-4,9,0
