tsv_brand,majorbrand,sales_upc_pre,sales_upc_post,percentage_sales_upc_pre,percentage_sales_upc_post,growth_contribution,product_grp_id,row_order
NATURES OWN,NATURES OWN,23.94,0.0,7.789635840705978E-5,0.0,-0.0011052024380935812,9,0
NOBRAND,ALL BAGELS BY BELL LTD,2.69,0.0,8.752765418337126E-6,0.0,-1.2418523636055693E-4,9,0
NOBRAND,ALL ORIGINAL BAGEL & BREAD CO INC,9.370000000000001,36.68,3.0488257237850883E-5,1.1149185925532029E-4,0.0012607802249095946,9,0
NOBRAND,OTHER MAPLE LEAF BAKERY,467.36000000000007,469.18000000000006,0.0015207035114922082,0.001426110973975223,8.402123798372222E-5,9,0
NUTRIBREADS P28,ALL NEW YORK BAKERY OF SYRACUSE INC,266.09000000000003,253.11000000000004,8.658079368644335E-4,7.693485413335366E-4,-5.992283895762184E-4,9,0
ODOUGHS,ALL ODOUGHS,1861.5200000000002,2527.1500000000015,0.006057043822134918,0.0076814790653512224,0.030729151999508427,9,0
ORIGINAL BAGEL,ALL DAKOTA BRAND MFG,8.17,8.77,2.6583677869075954E-5,2.6657132106574668E-5,2.7699309225403018E-5,9,0
PAPAS,OTHER PAPA PITA BAKERY,37.88,14.96,1.2325455540766183E-4,4.5472143251352005E-5,-0.001058113612410396,9,0
PARK AVENUE,ALL ORIGINAL BAGEL & BREAD CO INC,26.81,28.3,8.723481073071314E-5,8.602016403831964E-5,6.878661790975096E-5,9,0
SCHMIDT,SCHMIDT,1.99,0.0,6.4750941198850855E-6,0.0,-9.186937559758672E-5,9,0
SCHMIDT PERFECT PORTION,SCHMIDT,1.99,13.93,6.4750941198850855E-6,4.2341374030169345E-5,5.512162535855203E-4,9,0
SCHWARTZ BROTHERS BAKERY,ALL SCHWARTZ BROTHERS BAKERY,191.95000000000002,44.690000000000005,6.24570008196956E-4,1.358389092181097E-4,-0.006798333794221419,9,0
SCHWEBELS,SCHWEBELS,0.0,5.74,0.0,1.744719934911501E-5,2.649900582563557E-4,9,0
SEATTLE BAGEL BAKERY,ALL SEATTLE BAGEL BAKERY,0.0,357.19000000000005,0.0,0.001085708211761392,0.016489860437036184,9,0
SWEET NOTE,ALL SWEET NOTE BAKERY INC,132.81,209.7,4.3213932163916496E-4,6.374002967786441E-4,0.003549666477235398,9,0
THE BREAD STOP,ALL EMILS PIZZA INC,22.14,58.25999999999999,7.203948935389739E-5,1.7708603381174915E-4,0.001667498415369262,9,0
TOUFAYAN,TOUFAYAN,48.480000000000004,67.19999999999999,1.5774500649850702E-4,2.0425989481890738E-4,8.642184478325739E-4,9,0
TOUFAYAN BAKERIES,TOUFAYAN,0.0,16.52,0.0,5.021389080964807E-5,7.626543140060968E-4,9,0
TOUFAYAN SMART BAGEL,TOUFAYAN,13.750000000000002,8.97,4.473997193387937E-5,2.7265048460202374E-5,-2.206711634957109E-4,9,0
UDIS GLUTEN FREE,UDIS GLUTEN FREE,3724.450000000003,3566.6200000000026,0.012118675525028155,0.010841033125878155,-0.007286303291742286,9,0
UNIVERSAL BAKERY,ALL UNIVERSAL BAKERY,0.0,11.98,0.0,3.641418958229927E-5,5.530628742005472E-4,9,0
WENNER,ALL WENNER BREAD PRODS INC,49.800000000000004,29.880000000000003,1.6204004380415945E-4,9.082270323197847E-5,-9.196170662833808E-4,9,0
WEST COAST,OTHER PAN O GOLD BAKING CO,59.760000000000005,82.17,1.9444805256499135E-4,2.497624338879408E-4,0.001034569199568803,9,0
WESTERN BAGEL,WESTERN BAGEL,249.11000000000007,268.51000000000005,8.105581387962684E-4,8.161581005628695E-4,8.956109982880304E-4,9,0
WESTERN BAGEL THE ALTERNATIVE BAGEL,WESTERN BAGEL,15.85,22.729999999999997,5.157298582923548E-5,6.908969358978816E-5,3.176187457846213E-4,9,0
WESTERN PERFECT 10,WESTERN,22.740000000000002,15.16,7.399177903828485E-5,4.6080059604979704E-5,-3.499346065475917E-4,9,0
WHOLE GRAINS BAKERY,ALL WHOLE GRAINS BAKERY,9.96,2.49,3.240800876083189E-5,7.568558602664873E-6,-3.4485639985626777E-4,9,0
ZEPPYS,ALL ZEPPYS BKR INC,0.0,5.97,0.0,1.8146303155786863E-5,2.7560812679276015E-4,9,0
GROUP TOTAL,GROUP TOTAL,21721.260000000017,18252.330000000016,0.07067698638316344,0.055479449494047484,-0.16014494125212891,9,1
