id,state_1,state_2
117,2016-02-02 08:47:09,2016-02-02 13:00:58
118,2016-02-02 08:47:18,
119,2016-02-02 09:41:09,
120,2016-02-02 10:28:13,2016-02-03 12:36:08
121,2016-02-02 11:12:13,2016-02-02 15:14:49
122,2016-02-02 12:02:12,2016-02-02 15:17:16
123,2016-02-02 12:07:13,2016-02-02 15:27:01
124,2016-02-02 12:15:14,2016-02-02 15:19:28
125,2016-02-02 12:20:15,2016-02-02 15:18:05
126,2016-02-02 12:35:12,2016-02-02 19:22:54
127,2016-02-02 12:45:15,2016-02-02 19:25:31
128,2016-02-02 12:53:08,2016-02-03 03:38:03
129,2016-02-02 12:58:15,2016-02-02 15:08:44
130,2016-02-02 14:28:13,2016-02-02 19:36:52
131,2016-02-02 14:36:12,
132,2016-02-02 15:18:11,2016-02-02 19:46:55
133,2016-02-02 15:37:10,2016-02-02 19:53:19
134,2016-02-02 15:47:15,2016-02-02 19:57:42
135,2016-02-02 15:54:13,2016-02-03 09:10:55
136,2016-02-02 16:06:13,2016-02-02 19:52:29
137,2016-02-02 16:23:23,2016-02-02 17:54:18
138,2016-02-02 16:46:12,2016-02-02 21:16:33
139,2016-02-02 17:31:09,2016-02-02 20:15:48
140,2016-02-02 18:02:14,2016-02-02 19:41:33
141,2016-02-02 18:06:15,2016-02-03 10:25:56
142,2016-02-02 18:07:09,2016-02-02 20:20:13
143,2016-02-02 18:30:16,2016-02-03 08:18:03
144,2016-02-02 18:36:14,2016-02-03 18:05:38
145,2016-02-02 19:26:15,2016-02-03 09:17:58
146,2016-02-02 19:37:19,2016-02-03 08:10:56
147,2016-02-02 20:14:14,2016-02-03 09:18:57
148,2016-02-02 20:27:12,2016-02-05 10:47:56
149,2016-02-02 21:23:14,2016-02-03 08:16:05
150,2016-02-02 21:30:16,2016-02-04 17:49:58
151,2016-02-02 22:01:10,2016-02-03 08:21:40
152,2016-02-02 22:04:11,
153,2016-02-02 22:10:16,
154,2016-02-02 23:17:12,2016-02-03 09:01:41
155,2016-02-02 23:49:10,2016-02-03 09:21:35
156,2016-02-03 00:08:11,2016-02-03 11:51:44
157,2016-02-03 00:12:11,2016-02-03 08:24:45
158,2016-02-03 00:19:09,2016-02-03 09:25:19
159,2016-02-03 00:21:11,2016-02-03 09:48:13
160,2016-02-03 00:29:10,2016-02-17 17:47:05
161,2016-02-03 05:56:11,2016-02-03 15:26:31
162,2016-02-03 06:44:12,
163,2016-02-03 07:39:11,2016-02-03 19:25:14
164,2016-02-03 07:55:12,2016-02-03 15:32:04
165,2016-02-03 08:15:14,
166,2016-02-03 08:39:09,2016-02-03 10:05:31
167,2016-02-03 09:59:10,
168,2016-02-03 09:59:19,2016-02-03 16:10:47
169,2016-02-03 11:10:13,2016-02-03 16:12:37
170,2016-02-03 11:26:11,2016-02-03 16:14:18
171,2016-02-03 11:39:12,2016-02-03 16:15:48
172,2016-02-03 12:19:11,2016-02-03 19:26:21
173,2016-02-03 13:03:09,2016-02-03 16:19:17
174,2016-02-03 13:19:11,2016-02-03 16:20:07
175,2016-02-03 13:33:11,2016-02-03 16:36:01
176,2016-02-03 13:46:15,2016-02-03 16:38:17
177,2016-02-03 14:36:16,2016-02-03 16:39:39
178,2016-02-03 14:50:14,2016-02-03 16:42:24
179,2016-02-03 15:43:11,2016-02-03 16:50:08
180,2016-02-03 16:23:13,2016-02-03 18:10:46
181,2016-02-03 16:53:18,2016-02-06 12:39:33
182,2016-02-03 17:27:57,2016-02-03 19:30:53
183,2016-02-03 17:49:11,2016-02-03 19:27:43
184,2016-02-03 19:20:16,2016-02-04 08:18:26
185,2016-02-03 19:42:14,2016-02-04 08:26:24
186,2016-02-03 20:59:15,2016-02-04 08:37:40
187,2016-02-03 21:04:10,2016-02-04 08:28:14
188,2016-02-03 21:30:16,2016-02-04 08:49:30
189,2016-02-03 21:33:10,2016-02-04 08:39:32
190,2016-02-03 22:05:10,2016-02-04 11:18:58
191,2016-02-03 22:16:13,
192,2016-02-03 22:33:09,2016-02-04 08:53:42
193,2016-02-03 22:44:12,2016-02-04 09:17:28
194,2016-02-03 22:48:18,2016-02-04 09:42:20
195,2016-02-03 22:52:13,2016-02-04 09:47:40
196,2016-02-03 22:57:10,2016-02-04 09:56:28
197,2016-02-03 22:58:19,2016-02-04 10:17:39
198,2016-02-03 23:18:14,2016-02-04 10:04:30
199,2016-02-03 23:27:09,2016-02-04 10:12:30
200,2016-02-03 23:48:23,2016-02-05 10:01:57
201,2016-02-04 00:15:15,2016-02-04 15:50:02
202,2016-02-04 00:52:12,2016-02-04 10:34:10
203,2016-02-04 01:12:11,2016-02-04 10:36:02
204,2016-02-04 08:27:10,2016-02-04 10:02:11
205,2016-02-04 08:29:11,2016-02-04 09:44:17
206,2016-02-04 09:11:11,2016-02-04 13:42:16
207,2016-02-04 09:41:11,2016-02-04 14:09:50
208,2016-02-04 10:18:15,2016-02-04 13:27:00
209,2016-02-04 10:42:10,2016-02-12 18:25:05
210,2016-02-04 11:41:11,2016-02-04 14:15:13
211,2016-02-04 12:37:12,2016-02-04 15:20:51
212,2016-02-04 13:23:10,2016-02-04 15:42:10
213,2016-02-04 13:36:19,2016-02-04 15:45:36
214,2016-02-04 14:07:09,2016-02-04 15:47:32
215,2016-02-04 14:12:18,2016-02-04 19:25:19
216,2016-02-04 14:13:11,2016-02-05 20:45:22
217,2016-02-04 14:15:11,2016-02-04 15:51:02
218,2016-02-04 14:49:19,2016-02-04 16:34:47
219,2016-02-04 15:36:13,2016-02-04 16:57:05
220,2016-02-04 15:45:13,2016-02-04 19:30:09
221,2016-02-04 16:28:12,2016-02-04 19:31:31
222,2016-02-04 16:29:18,2016-02-04 19:32:59
223,2016-02-04 17:34:11,2016-02-04 20:28:15
224,2016-02-04 21:52:10,2016-02-05 06:04:26
225,2016-02-04 23:16:10,2016-02-05 06:13:53
226,2016-02-05 02:23:10,
227,2016-02-05 02:33:11,
228,2016-02-05 02:50:13,2016-02-05 06:07:38
229,2016-02-05 04:03:12,
230,2016-02-05 04:17:15,2016-02-05 08:09:04
231,2016-02-05 05:34:11,
232,2016-02-05 07:33:11,2016-02-05 08:22:15
233,2016-02-05 08:31:09,2016-02-05 10:23:26
234,2016-02-05 09:46:11,2016-02-05 13:25:11
235,2016-02-05 10:17:09,
236,2016-02-05 10:27:09,2016-02-05 13:30:00
237,2016-02-05 10:44:12,2016-02-05 13:36:13
238,2016-02-05 10:59:17,2016-02-05 13:40:03
239,2016-02-05 11:34:11,2016-02-05 13:52:34
240,2016-02-05 12:26:11,2016-02-05 16:47:29
241,2016-02-05 12:34:21,2016-02-05 21:01:45
242,2016-02-05 13:24:10,2016-02-05 16:29:17
243,2016-02-05 13:28:26,2016-02-08 19:43:02
244,2016-02-05 13:35:12,
245,2016-02-05 17:22:12,2016-02-06 09:05:51
246,2016-02-05 17:25:10,
247,2016-02-05 17:41:10,2016-02-05 20:56:38
248,2016-02-05 18:20:16,2016-02-05 20:58:05
249,2016-02-05 18:48:10,2016-02-06 09:12:06
250,2016-02-05 19:55:11,
251,2016-02-05 21:00:22,2016-02-06 09:36:36
252,2016-02-05 21:21:10,2016-02-06 09:39:27
253,2016-02-05 22:02:10,2016-02-06 10:01:34
254,2016-02-05 22:42:11,2016-02-06 10:08:56
255,2016-02-05 22:45:11,2016-02-06 10:16:14
256,2016-02-05 23:16:13,2016-02-06 10:19:20
257,2016-02-06 00:40:14,2016-02-06 10:22:50
258,2016-02-06 05:51:11,2016-02-06 10:26:57
259,2016-02-06 06:12:11,2016-02-06 10:40:42
260,2016-02-06 06:53:08,2016-02-06 10:30:20
261,2016-02-06 06:54:10,2016-02-06 10:36:15
262,2016-02-06 07:40:15,
263,2016-02-06 08:25:09,2016-02-06 11:11:19
264,2016-02-06 08:46:11,2016-02-06 17:52:22
265,2016-02-06 08:57:09,2016-02-06 10:39:22
266,2016-02-06 09:01:14,2016-02-06 19:21:21
267,2016-02-06 09:07:09,2016-02-06 19:31:04
268,2016-02-06 09:08:12,2016-02-06 13:04:08
269,2016-02-06 09:08:12,2016-02-06 13:04:08
270,2016-02-06 09:24:13,2016-02-06 13:47:06
271,2016-02-06 09:30:18,2016-02-06 13:48:20
272,2016-02-06 09:40:14,
273,2016-02-06 09:50:15,2016-02-06 13:38:47
274,2016-02-06 09:52:11,2016-02-06 13:43:00
275,2016-02-06 10:49:09,2016-02-06 13:49:41
276,2016-02-06 11:14:10,2016-02-06 19:28:11
277,2016-02-06 11:14:10,2016-02-06 19:28:11
278,2016-02-06 11:17:10,2016-02-06 13:50:32
279,2016-02-06 11:39:12,2016-02-10 03:39:06
280,2016-02-06 12:11:10,2016-02-07 17:09:28
281,2016-02-06 12:18:14,2016-02-06 19:25:37
282,2016-02-06 12:53:09,2016-02-06 13:54:20
283,2016-02-06 13:49:10,2016-02-08 20:00:18
284,2016-02-06 13:59:13,2016-02-06 17:22:57
285,2016-02-06 14:24:11,
286,2016-02-06 14:43:09,2016-02-06 17:24:22
287,2016-02-06 15:41:09,2016-02-06 19:26:41
288,2016-02-06 15:56:18,2016-02-06 19:29:43
289,2016-02-06 17:01:09,2016-02-09 21:50:05
290,2016-02-06 17:38:18,2016-02-07 14:31:42
291,2016-02-06 19:13:17,2016-02-07 14:35:41
292,2016-02-06 19:18:12,2016-02-06 20:51:04
293,2016-02-06 19:23:08,2016-02-07 14:43:21
294,2016-02-06 19:27:10,2016-02-07 15:38:38
295,2016-02-06 19:32:13,2016-02-07 23:37:25
296,2016-02-06 20:28:29,2016-02-07 15:51:09
297,2016-02-06 20:34:10,2016-02-07 15:19:39
298,2016-02-05 02:50:13,2016-02-05 06:07:38
299,2016-02-07 06:07:10,2016-02-07 16:10:16
300,2016-02-07 06:21:08,
301,2016-02-07 07:27:16,2016-02-07 14:05:58
302,2016-02-07 07:45:13,2016-02-09 03:43:03
303,2016-02-07 07:52:10,2016-02-07 14:04:21
304,2016-02-07 08:14:12,2016-02-08 13:42:21
305,2016-02-07 08:33:12,2016-02-08 23:40:07
306,2016-02-07 08:59:09,2016-02-07 12:53:18
307,2016-02-07 09:04:11,2016-02-08 15:11:49
308,2016-02-07 09:19:12,2016-02-07 12:56:16
309,2016-02-07 09:25:12,2016-02-07 12:57:51
310,2016-02-07 09:32:18,2016-02-07 13:18:31
311,2016-02-07 10:08:10,2016-02-07 13:21:48
312,2016-02-07 11:06:11,2016-02-07 13:33:06
313,2016-02-07 11:32:13,2016-02-07 13:28:55
314,2016-02-07 11:52:12,2016-02-07 13:57:55
315,2016-02-07 12:34:12,2016-02-07 13:59:48
316,2016-02-07 13:07:09,2016-02-07 19:35:12
317,2016-02-07 13:33:10,2016-02-07 15:34:48
318,2016-02-07 13:46:10,2016-02-07 15:33:25
319,2016-02-07 14:19:19,2016-02-07 15:36:18
320,2016-02-07 15:03:10,2016-02-07 19:21:32
321,2016-02-07 15:25:11,2016-02-07 17:38:04
322,2016-02-07 15:29:11,2016-02-08 02:30:19
323,2016-02-07 16:25:10,2016-02-07 19:23:45
324,2016-02-07 17:22:12,2016-02-11 19:45:53
325,2016-02-07 17:50:15,2016-02-08 02:40:58
326,2016-02-08 08:32:12,2016-02-08 14:21:47
327,2016-02-08 09:34:12,2016-02-08 13:55:57
