Hubspot Domain,Umbrella Domain,Rank 06/09/2019,Rank 06/09/2018,Rank 06/08/2017,Match Type
shoeaholics.de,shoeaholics.com,662425,528115,500908,Approximate
shoeaholics.es,shoeaholics.com,662425,528115,500908,Approximate
shoeaholics.eu,shoeaholics.com,662425,528115,500908,Approximate
shoeaholics.fr,shoeaholics.com,662425,528115,500908,Approximate
shoeaholics.ie,shoeaholics.com,662425,528115,500908,Approximate
shoeaholics.it,shoeaholics.com,662425,528115,500908,Approximate
shoeaholics.nl,shoeaholics.com,662425,528115,500908,Approximate
shoebacca.com,shoebacca.com,510185,505666,534963,Exact
shoebuy.com,shoebuy.com,258868,179062,143824,Exact
shoeby.nl,shoeby.nl,,,182534,Exact
shoecall.com,shoecall.com,,,608090,Exact
shoecity.de,shoecity.com,852309,,,Approximate
shoegallerymiami.com,shoegallerymiami.com,356078,302197,,Exact
shoelace.de,shoelace.com,42647,49218,61381,Approximate
shoepalace.com,shoepalace.com,334767,241988,401627,Exact
shoes.com,shoes.com,83758,79305,102010,Exact
shoes.ro,shoes.com,83758,79305,102010,Approximate
shoes4you.eu,shoes4you.com.br,,,360491,Approximate
shoesensation.com,shoesensation.com,506342,514557,,Exact
shoesinternational.co.uk,shoesinternational.co.uk,923992,,,Exact
shoesity.com,shoesity.com,993623,,,Exact
shoestation.com,shoestation.com,780719,924777,873695,Exact
shoeyl.com,shoeyl.com,,732491,,Exact
shoezoo.com,shoezoo.com,744794,892937,988837,Exact
shom.fr,shom.fr,852310,,,Exact
shoot.ie,shoot.co.uk,,877987,697290,Approximate
shop.annmariegianni.com,shop.annmariegianni.com,,780794,932061,Exact
shop.clek.nz,shop.foxnews.com,9513,10184,8690,Approximate
shop.crackerbarrel.com,shop.crackerbarrel.com,733852,829703,701587,Exact
shop.dk,shop.foxnews.com,9513,10184,8690,Approximate
shop.dyson.tw,dyson.com,88189,84470,153802,Approximate
shop.franklinplanner.com,shop.franklinplanner.com,566084,747818,,Exact
shop.homeseer.com,homeseer.com,186001,253929,241672,Approximate
shop.jazzercise.com,jazzercise.com,524009,557019,560164,Approximate
shop.medicalmarijuanainc.com,medicalmarijuanainc.com,911610,841132,704996,Approximate
shop.mota.com,shop.foxnews.com,9513,10184,8690,Approximate
shop.perfectbar.com,perfectbar.com,933163,,,Approximate
shop.pl,shop.foxnews.com,9513,10184,8690,Approximate
shop.si,shop.foxnews.com,9513,10184,8690,Approximate
shop2.be,shop2.daumcdn.net,82061,66548,79717,Approximate
shop2.pk,shop2.daumcdn.net,82061,66548,79717,Approximate
shop247.ae,shop247.com,993632,,,Approximate
shop247.co.uk,shop247.com,993632,,,Approximate
shop247.com,shop247.com,993632,,,Exact
shop247.today,shop247.com,993632,,,Approximate
shop24direct.at,shop24direct.de,807515,,,Approximate
shop24direct.ch,shop24direct.de,807515,,,Approximate
shop24direct.de,shop24direct.de,807515,,,Exact
shop2gether.com.br,shop2gether.com.br,913910,877993,294559,Exact
shop4.co.uk,shop4.daumcdn.net,169309,101911,116532,Approximate
shop5.sg,shop5.frys.com,,,582024,Approximate
shopacrimony.com,shopacrimony.com,718048,,,Exact
shopakira.com,shopakira.com,288690,447359,568689,Exact
shopalikeruk.com,shopalikeruk.com,,704209,,Exact
shopatdean.com,shopatdean.com,894914,699834,,Exact
shopathome.com.br,shopathome.com,48869,28649,21236,Approximate
shopathome.ie,shopathome.com,48869,28649,21236,Approximate
shopatlantisbahamas.com,shopatlantisbahamas.com,,,765621,Exact
shopatsky.com,shopatsky.com,566085,,,Exact
shopbentley.com,shopbentley.com,868442,,,Exact
shopbetches.com,shopbetches.com,,350684,271003,Exact
shopboostify.com,shopboostify.com,,,793823,Exact
shopboxfox.com,shopboxfox.com,589963,,,Exact
shopbriarwood.net,shopbriarwood.net,,,614295,Exact
shopburlap.co,shopburlap.co,,,724648,Exact
shopcampaign.com,shopcampaign.com,,,384504,Exact
shopcandelabra.com,shopcandelabra.com,868443,708585,503033,Exact
shopcaterpillar.co.uk,shopcaterpillar.com,993634,,,Approximate
shopcaterpillar.com,shopcaterpillar.com,993634,,,Exact
shopcbslocal.com,shopcbslocal.com,,,866251,Exact
shopclima.it,shopclima.it,,,959524,Exact
shopclub.site,shopclub.electrolux.com.br,,,999038,Approximate
shopcourts.com,shopcourts.com,,314413,,Exact
shopcourtyard.com,shopcourtyard.com,,,298820,Exact
shopcrystalline.com,shopcrystalline.com,612688,663295,,Exact
shopdailychic.com,shopdailychic.com,,488953,190986,Exact
shopdeally.com,shopdeally.com,,,623677,Exact
shopdirect.co.il,shopdirect.com,79969,108905,107376,Approximate
shopdoen.com,shopdoen.com,904236,,897363,Exact
shopdoscabelos.com.br,shopdoscabelos.com.br,,,568691,Exact
shopdressup.com,shopdressup.com,980987,863506,,Exact
shopdripla.com,shopdripla.com,,732498,,Exact
shopeasy.ph,shopeasy.by,768209,376908,,Approximate
shopeasy.us,shopeasy.by,768209,376908,,Approximate
shoped.it,shoped.it,,,297196,Exact
shopeddies.com,shopeddies.com,,586950,,Exact
shopee.gr,shopee.vn,15904,17259,84944,Approximate
shopelle.com,shopelle.com,728399,,,Exact
